date,sku_id,quantity
2022-01-01,P0001,726
2022-01-01,P0002,773
2022-01-01,P0003,732
2022-01-01,P0004,455
2022-01-01,P0005,716
2022-01-01,P0006,1099
2022-01-01,P0007,845
2022-01-01,P0008,756
2022-01-01,P0009,336
2022-01-01,P0010,392
2022-01-01,P0011,545
2022-01-01,P0012,320
2022-01-01,P0013,636
2022-01-01,P0014,974
2022-01-01,P0015,1189
2022-01-01,P0016,770
2022-01-01,P0017,1186
2022-01-01,P0018,496
2022-01-01,P0019,799
2022-01-01,P0020,739
2022-01-02,P0001,627
2022-01-02,P0002,296
2022-01-02,P0003,1050
2022-01-02,P0004,523
2022-01-02,P0005,715
2022-01-02,P0006,525
2022-01-02,P0007,596
2022-01-02,P0008,529
2022-01-02,P0009,571
2022-01-02,P0010,781
2022-01-02,P0011,616
2022-01-02,P0012,535
2022-01-02,P0013,937
2022-01-02,P0014,722
2022-01-02,P0015,740
2022-01-02,P0016,915
2022-01-02,P0017,1026
2022-01-02,P0018,385
2022-01-02,P0019,807
2022-01-02,P0020,519
2022-01-03,P0001,270
2022-01-03,P0002,822
2022-01-03,P0003,674
2022-01-03,P0004,880
2022-01-03,P0005,706
2022-01-03,P0006,801
2022-01-03,P0007,839
2022-01-03,P0008,863
2022-01-03,P0009,1005
2022-01-03,P0010,624
2022-01-03,P0011,634
2022-01-03,P0012,460
2022-01-03,P0013,544
2022-01-03,P0014,961
2022-01-03,P0015,1025
2022-01-03,P0016,261
2022-01-03,P0017,598
2022-01-03,P0018,644
2022-01-03,P0019,559
2022-01-03,P0020,511
2022-01-04,P0001,752
2022-01-04,P0002,536
2022-01-04,P0003,855
2022-01-04,P0004,504
2022-01-04,P0005,743
2022-01-04,P0006,653
2022-01-04,P0007,837
2022-01-04,P0008,710
2022-01-04,P0009,401
2022-01-04,P0010,938
2022-01-04,P0011,512
2022-01-04,P0012,551
2022-01-04,P0013,429
2022-01-04,P0014,789
2022-01-04,P0015,905
2022-01-04,P0016,610
2022-01-04,P0017,1175
2022-01-04,P0018,894
2022-01-04,P0019,732
2022-01-04,P0020,558
2022-01-05,P0001,633
2022-01-05,P0002,652
2022-01-05,P0003,753
2022-01-05,P0004,555
2022-01-05,P0005,626
2022-01-05,P0006,725
2022-01-05,P0007,470
2022-01-05,P0008,631
2022-01-05,P0009,447
2022-01-05,P0010,712
2022-01-05,P0011,621
2022-01-05,P0012,919
2022-01-05,P0013,650
2022-01-05,P0014,806
2022-01-05,P0015,701
2022-01-05,P0016,934
2022-01-05,P0017,458
2022-01-05,P0018,445
2022-01-05,P0019,440
2022-01-05,P0020,394
2022-01-06,P0001,584
2022-01-06,P0002,423
2022-01-06,P0003,533
2022-01-06,P0004,847
2022-01-06,P0005,673
2022-01-06,P0006,419
2022-01-06,P0007,418
2022-01-06,P0008,975
2022-01-06,P0009,615
2022-01-06,P0010,558
2022-01-06,P0011,525
2022-01-06,P0012,415
2022-01-06,P0013,950
2022-01-06,P0014,598
2022-01-06,P0015,743
2022-01-06,P0016,843
2022-01-06,P0017,687
2022-01-06,P0018,523
2022-01-06,P0019,809
2022-01-06,P0020,425
2022-01-07,P0001,406
2022-01-07,P0002,670
2022-01-07,P0003,354
2022-01-07,P0004,553
2022-01-07,P0005,748
2022-01-07,P0006,893
2022-01-07,P0007,1146
2022-01-07,P0008,475
2022-01-07,P0009,751
2022-01-07,P0010,413
2022-01-07,P0011,702
2022-01-07,P0012,402
2022-01-07,P0013,549
2022-01-07,P0014,753
2022-01-07,P0015,573
2022-01-07,P0016,708
2022-01-07,P0017,368
2022-01-07,P0018,596
2022-01-07,P0019,248
2022-01-07,P0020,518
2022-01-08,P0001,683
2022-01-08,P0002,391
2022-01-08,P0003,621
2022-01-08,P0004,1138
2022-01-08,P0005,954
2022-01-08,P0006,728
2022-01-08,P0007,704
2022-01-08,P0008,1101
2022-01-08,P0009,751
2022-01-08,P0010,594
2022-01-08,P0011,765
2022-01-08,P0012,398
2022-01-08,P0013,935
2022-01-08,P0014,491
2022-01-08,P0015,784
2022-01-08,P0016,364
2022-01-08,P0017,707
2022-01-08,P0018,634
2022-01-08,P0019,602
2022-01-08,P0020,613
2022-01-09,P0001,1278
2022-01-09,P0002,627
2022-01-09,P0003,387
2022-01-09,P0004,365
2022-01-09,P0005,932
2022-01-09,P0006,429
2022-01-09,P0007,962
2022-01-09,P0008,769
